PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
16-15831-000,BRKT-LVL VLV FRAME MTD,71669.3,36526.5,-0.4584178238362986,0.0456034641120741,0.7251046193851634
16-15878-000,"BRKT,RR SUSP,FWD,NO OUTSERT",1218890.0,230529.0,1.2465656282161177,0.25445788544191666,1.0446399405826616
16-15879-000,"BRKT,RR SUSP,FWD STAMPING",517037.0,141812.0,0.3190479100458753,0.011117325909395747,0.10882264857891331
16-15880-000,"BRKT-RR SUSP,SLIPPER CASTING",1619500.0,305828.0,1.8710715667090139,0.2982650191030241,1.6581205678419841
16-16018-000,"SHKL BRKT,FR SUSP,RR,CI,2.25",1029280.0,130206.0,0.7015674967325869,0.4831412928518578,0.7161892676134801
16-16018-001,"SHKL BRKT,FR SUSP,RR,CI,1.5IN",1167880.0,127240.0,0.8057396763573798,0.610186985473252,0.8804668910351153
16-16091-001,"BRKT-SPR HGR,23K,RH RAM",1053010.0,162840.0,0.8471963170223369,0.3770997749315307,0.7457729080004333
16-16474-000,"BRKT-DMP VLV/AUX AIR TANK,LH",127873.0,69146.1,-0.28575758908903004,-0.03329558790530255,0.5437023619664119
16-16474-001,"BRKT-DMP VLV/AUX AIR TANK,RH",127873.0,69146.1,-0.28575758908903004,-0.03329558790530255,0.5437023619664119
16-16516-000,"BRKT-SWAYBAR,A/L,17/20K,XC,LH",830080.0,122210.0,0.5045787306104775,0.34781692656819213,0.4927153739968537
16-16516-001,"BRKT-SWAYBAR,A/L,17/20K,XC,RH",830080.0,122210.0,0.5045787306104775,0.34781692656819213,0.4927153739968537
16-16530-000,"BRKT-MTG,SHOCK,UPPER,LH",146709.0,51723.4,-0.3372272295463337,0.0495969951322982,0.6068536291980453
16-16530-001,"BRKT-MTG,SHOCK,UPPER,RH",146709.0,51723.4,-0.3372272295463337,0.0495969951322982,0.6068536291980453
16-16844-000,"BRKT-SHOCK MNT,LH,REAR",88337.0,32046.0,-0.4617915707081151,0.07678291177204194,0.7343494181253477
16-16844-001,"BRKT-SHOCK MNT,RH,REAR",88337.1,32046.0,-0.4617914872961843,0.07678299518397277,0.7343493541234214
16-17129-000,"BRKT,RR SUSP,FWD",1299260.0,186838.0,1.1451333559655954,0.48996649530013,1.0547705052397867
16-17208-000,"BRKT-LEVELING VALVE,MTG,LH",104947.0,38195.7,-0.4242238950407418,0.06692467952464817,0.6955507977799986
16-17208-001,"BRKT-LEVELING VALVE,MTG,RH",104948.0,38195.6,-0.42422344651673016,0.06692589923925304,0.6955506126228964
