PART_NO,ITEM_DESC,DEPT_CNTL,MSTR_NO,VOLUME,SURF_A,x_cog,y_cog,z_cog,PC1,PC2,Distance
22-75747-010,"BRKT-SPL SHLD,FRONTWALL MTD,LH",N,58604,41109.9,23146.6,-40804.6,-799543.0,-73995.8,-0.5683360649197478,0.40547570584933473,1.3461025006525402
22-75762-000,BRACKET-AC HOSE SUPPORT,N,17008,12182.1,10413.5,-18869.4,-17567.3,15779.0,-0.6413434712743864,-0.07672928275575432,0.9857914241008526
22-75777-000,"PLUG-BRKT,NO R/L SENSOR",N,7B703,8849.94,9737.56,123835.0,17.5405,708303.0,-0.8033201654562985,1.2566957564338708,2.2197557437766426
22-75791-000,"BRKT,MUDFP,BAR,STRGHT,XL",R,58511,280326.0,94041.7,-400665.0,121997.0,-5.9899e-05,0.24241668711286252,-0.16631885701270052,0.67185412354955
22-75792-000,"BRKT,MDFLP,BAR,MTRD,STD",R,58511,281024.0,94213.6,-378079.0,98819.8,-5.57607e-05,0.24219720112520626,-0.14158220679107777,0.6952489449141998
22-75793-000,"BRKT,MDFLP,BAR,STD,COIL LH",R,58511,486205.0,144392.0,-270899.0,108896.0,36897.6,0.5822586404336371,-0.06029757357308558,0.9274263885534544
22-75793-001,"BRKT,MDFLP,BAR,STD,COIL RH",R,58511,485988.0,144392.0,270936.0,108979.0,36901.8,0.5820885882537039,0.15664359069734926,1.1085821355028047
22-75795-000,"BRKT,MDFLP,BAR,HD,COIL LH",R,58511,555758.0,141196.0,-301546.0,117163.0,29649.7,0.6292573176637527,-0.09168032554285499,0.9322182807019168
22-75795-001,"BRKT,MDFLP,BAR,HD,COIL RH",R,58511,555577.0,141196.0,301581.0,117220.0,29653.2,0.6291150385256116,0.1498209720012484,1.1271353104029365
22-75796-000,"BRKT,MDFLP,BAR,HD,MTRD COIL,LH",R,58511,554113.0,140850.0,-282020.0,101976.0,29614.6,0.6257350977804386,-0.07352433170775075,0.9438900993483168
22-75796-001,"BRKT,MDFLP,BAR,HD,MTRD COIL,RH",R,58511,553899.0,140849.0,282059.0,102037.0,29620.3,0.625562009202522,0.15234179510612325,1.1273718443252416
22-75798-000,"BRKT,MDFLP,PNT,STRAIGHT",R,58511,481355.0,525039.0,306512.0,-16421.6,-216.686,1.9882661970980025,0.17761244532458442,2.193405929382442
22-75798-001,"BRKT,MDFLP,SST,STRAIGHT",R,58511,481355.0,525039.0,306512.0,-16421.6,-216.686,1.9882661970980025,0.17761244532458442,2.193405929382442
22-75800-000,"BRKT,MDFLP,PNT,MTRD,NO TAPE",R,58511,549939.0,669784.0,337950.0,-22780.7,270.144,2.577732487672141,0.18417647688749506,2.7358465352892343
22-75800-001,"BRKT,MDFLP,PNT,MTRD,W/ TAPE",R,58511,549939.0,669784.0,337950.0,-22780.7,270.144,2.577732487672141,0.18417647688749506,2.7358465352892343
22-75800-002,"BRKT,MDFLP,PNT,MTRD,W/ TAPE",R,58511,549939.0,669784.0,337950.0,22780.7,270.131,2.580518559450407,0.1532570264634092,2.7274592040208945
22-75800-003,"BRKT,MDFLP,SST,MTRD,NO TAPE",R,58511,549939.0,669784.0,337950.0,-22780.7,270.144,2.577732487672141,0.18417647688749506,2.7358465352892343
22-75800-004,"BRKT,MDFLP,SST,MTRD,W/ TAPE",R,58511,549939.0,669784.0,337950.0,-22780.7,270.144,2.577732487672141,0.18417647688749506,2.7358465352892343
22-75800-005,"BRKT,MDFLP,SST,MTRD,W/ TAPE",R,58511,549939.0,669784.0,337950.0,22780.7,270.131,2.580518559450407,0.1532570264634092,2.7274592040208945
22-75801-000,"BRKT,MDFLP,PTD,W LABEL",R,58511,716563.0,752262.0,205192.0,665.048,-15505.3,3.0230313618370057,0.07991784297601413,3.124248700692781
22-75801-001,"BRKT,MDFLP,PTD,W LABEL",R,58511,716561.0,752261.0,-205193.0,663.556,-15505.2,3.0230250958555724,-0.08442326227939428,3.0818690713284616
22-75803-000,"BRKT,MDFLP,SST,26DEG",R,58511,360741.0,357258.0,215229.0,-20110.5,110.761,1.270890218825196,0.15848575989018338,1.572605580263862
22-75804-000,"BRKT,MDFLP,PNT,26DEG",R,58511,350788.0,346673.0,210394.0,-19214.4,113.903,1.2238172285993454,0.1569467019320973,1.5346472276462908
22-75805-000,"BRKT,MDFLP,SST,MTRD",R,58511,465184.0,475941.0,110.165,-31784.4,202353.0,1.7306713914082164,0.37643693056759714,2.07258893972525
22-75806-000,"BRKT,MDFLP,PNT,MTRD",R,58511,465184.0,475941.0,109.903,-31759.3,202244.0,1.730706417507961,0.3762542685474249,2.072513867532037
22-75810-002,"BRACKET-FAIRING,RR,36""XT,LH",N,78403,88287.0,62588.8,-11178.9,73682.5,-7446.72,-0.43173132393583713,-0.42306990467833355,0.5944011088204547
22-75810-003,"BRACKET-FAIRING,RR,36""XT,RH",N,78403,88285.6,62588.8,-11179.6,-73683.1,-7446.95,-0.4407437501203449,-0.3230634468752713,0.6689575329981609
22-75892-000,"BRKT-TGS,DISP,RAM,M2",V,78605,51448.3,33494.9,-22762.5,41039.0,23684.1,-0.5605914438877009,-0.028220637137050898,0.9712293772426891
22-75917-000,"COVER-MIRROR BRKT,LWR,LH",N,74413,114891.0,93971.9,386707.0,-1184970.0,490849.0,-0.4145894638720583,1.8170722228362757,2.6562009251749394
22-75917-001,"COVER-MIRROR BRKT,LWR,RH",N,74413,114905.0,93971.8,386712.0,1184970.0,490847.0,-0.2696567162773446,0.2087531850368029,1.053420031405321
22-75957-000,"BRACKET-MTG,R/D,FRM,M2,MBE900",N,70204,172806.0,50089.8,64210.3,17480.8,-61197.9,-0.291433091651941,0.014212220843886373,0.8760645376199929
22-75965-000,BRACKET-TRAILER SOCKETS,N,48404,55793.3,73224.1,28773.6,112792.0,78249.9,-0.33274738606325804,0.16995983327800818,1.036354438520071
22-76002-000,"BRKT,MDFLP,SST,STR,NULINE",R,58511,728890.0,460562.0,-348685.0,0.942167,-45518.7,1.964559162092909,-0.17048356677107743,2.038990815900099
22-76012-000,"BRKT-TUBE,BASE,3/4",N,17008,44997.9,32572.5,3362.12,40559.4,-101015.0,-0.49358808613848526,-0.2871882679347554,0.7316389682689626
22-76022-000,"BRACKET-GUSSET,FAIRING,LH",N,78403,59559.9,39803.5,79652.7,17957.3,38064.4,-0.5564547125257756,-0.2773320944756697,0.7841058756276441
22-76022-001,"BRACKET-GUSSET,FAIRING,RH",N,78403,59559.9,39803.5,79652.7,-17957.3,38064.4,-0.5586508809936359,-0.25295929238444737,0.8022287275351395
22-76164-000,"BRKT-INNER SUPT,LH",N,66715,145539.0,68326.7,163615.0,-1136800.0,-220013.0,-0.40512003222527265,0.005163574216490071,0.9153583957485817
22-76164-001,"BRKT-INNER SUPT,RH",N,66715,145527.0,68326.7,163628.0,1136800.0,-220021.0,-0.26609719852926866,-1.5377809544634808,0.7913001349379205
22-76187-000,"BRKT-COUPLER,TETHER SUPT,LWR,",R,78201,41657.0,23206.1,67080.2,-1981.2,33157.9,-0.16766292733582583,0.4347583250060465,1.2521590233816668
22-76198-000,"BRKT-FAIR,STEP,UPR,VOID,RH,P4",R,78203,68758.9,32007.3,-57934.9,26919.7,46717.4,-0.30332738854462293,-0.42359084716005363,0.5018678158919491
22-76205-000,"BRKT-MTG,INTERLUBE PUMP",W,59403,173233.0,79963.6,20025.3,-63845.9,72355.4,-0.19509602798217454,0.2868214822361398,1.1113670686621193
22-76273-000,BRACKET-AC HOSE SUPPORT,N,17008,28481.3,20563.3,-2363.51,31749.1,-50430.3,-0.5673490038898992,-0.20534970788896842,0.8416619447390771
22-76304-010,"BRKT-STEP,CUMMINS,160CH",R,67602,724960.0,325053.0,959530.0,631981.0,-110900.0,1.2838556889347157,-1.1812715687919035,1.3137481975651222
22-76304-020,"BRKT-STEP,CUMMINS,280CH",R,67602,787373.0,354150.0,953732.0,616711.0,-101286.0,1.4377739045626559,-1.1627319848909863,1.457103368672343
22-76357-000,"BRKT-AC,PLMBG,CONTROL",W,1MD02,26730.8,14686.5,-6.11204e-06,76235.0,-10184.1,-0.5318630915073003,0.018596372393183267,0.9925157760658114
22-76376-010,"BRKT-STEP,CUMMINS,AWD,160,2017",R,67602,635336.0,286674.0,977751.0,618436.0,-118577.0,1.0713538080184657,-1.1707505848689856,1.1084270481681948
22-76376-020,"BRKT-STEP,CUMMINS,AWD,280,2017",R,67602,677645.0,307451.0,972902.0,605591.0,-110475.0,1.1789417633567538,-1.1545131755478935,1.2055840302037095
22-76439-000,"BRKT-FAIR,FTK BAND,PRIME",R,78203,28211.1,22874.9,-38353.9,-344087.0,-142958.0,-0.3341606420562097,-0.44991203940201674,0.5038663196444432
22-76439-001,"BRKT-FAIR,FTK BAND,TOPCOAT",R,78203,28211.1,22874.9,-38353.9,-344087.0,-142958.0,-0.3341606420562097,-0.44991203940201674,0.5038663196444432
22-76441-000,"BRKT-FAIR,RAIL SUPT,UPPER,LH",R,78203,117462.0,58296.8,3334650.0,-975383.0,35953.9,-0.22492200902168016,1.595441507210945,2.4108717708429936
22-76441-001,"BRKT-FAIR,RAIL SUPT,UPPER,RH",R,78203,117462.0,58296.8,3334650.0,975383.0,35954.1,-0.1056332359222558,0.2715892928868416,1.0819622618474447
22-76459-010,"BRKT-HOOD SUPT,FENDER,FWD,LH",N,66715,77776.9,53733.3,-68581.9,-1000180.0,-8187.33,-0.5703911414293632,0.1445955448412603,1.119064508158902
22-76519-000,"BRKT-AC,H02,114SD",N,70207,7225.44,6372.57,276256.0,520146.0,705756.0,-0.8119297496523229,0.8429482681800913,1.8463509226318056
22-76595-010,"BRKT-NUT PLATE,M12,46MM",R,67602,5741.75,4549.86,23048.9,-7.04374e-13,1587.5,-0.553173784567027,-0.9101995315822093,0.5890737617918151
22-76639-000,"SEAL-MTG BRKT,SNVSR,LWRF,43N",N,76401,22512.3,21602.6,254903.0,-219017.0,1487810.0,-1.0013784792155165,2.6403399308166113,3.5926942513006295
22-76652-010,"BRKT-SHIELD,GATS,UPPER,FWD",R,67602,85788.4,58478.9,-11398.8,261347.0,26165.3,-0.2809884437729981,-1.0702576542606157,0.407411932055817
22-76652-020,"BRKT-SHIELD, GATS, UPPER, AFT",R,67602,85788.5,58478.9,11398.8,261347.0,26165.3,-0.2809883166312184,-1.061128151889157,0.4014671784040874
22-76674-000,"BRKT-STEP,SIDE MTG,DEF TK,FWD",R,67602,1029540.0,352205.0,794856.0,-1088200.0,-342998.0,1.5958339392570347,-0.4456191244119037,1.6099109370439733
22-76674-001,"BRKT-STEP,SIDE MTG,DEF TK,AFT",R,67602,1029540.0,352205.0,783505.0,-1088200.0,-342998.0,1.5958339160931003,-0.4501647355792406,1.6089098047841337
22-76674-004,"TOP BRKT ONLY-STEP, SIDE MTG",1,67602,844500.0,288752.0,790138.0,-1073960.0,-302462.0,0.6050064921022671,-0.8760858413733846,0.5837413436903176
22-76727-000,"BRKT-TL BX MTG,LH",R,60202,1304490.0,412507.0,2363010.0,1421470.0,-4099940.0,3.6409669830737235,-5.979233618057544,6.314159066039478
22-76727-001,"BRKT-TL BX MTG,RH",A,60202,1304490.0,412507.0,3286960.0,1421470.0,-4099940.0,2.9920556441141004,-6.144450660410528,6.1103147850304
22-76735-000,"BRKT-CONDENSER,CENTER MNT",N,68906,248959.0,170327.0,16219.8,2181.09,-10615.0,0.1999479771121363,0.08209704566086436,0.9013945684643775
22-76775-010,"BRKT SIDE MTG,STEPS,EURO5",R,67602,482087.0,170800.0,1028020.0,1132150.0,-324595.0,0.6144621678838342,-1.799435145231529,1.157820880298471
22-76836-000,BRKT-ROUTING TRAY,W,54609,387073.0,232717.0,140034.0,211063.0,-7363.54,0.5829019491773024,0.010116493829034186,0.9850354749151281
22-76860-000,"BRKT-MTG,SUPT,BODY,NADP",W,59J03,376797.0,126412.0,2853690.0,460579.0,-3537.72,0.1959963685694197,0.93989800330995,1.7505204706554136
22-76868-000,"BRKT-SUPT,BODY,NADP,UPPER,RH",W,59J03,256933.0,87319.7,2898020.0,443551.0,427306.0,-0.1784721097760462,1.6303664428623295,2.4412824039549554
22-76868-001,"BRKT-SUPT,BODY,NADP,UPPER,LH",W,59J03,256933.0,87319.7,2898020.0,-444427.0,427306.0,-0.2327717339888655,2.232976859109744,3.0463254440012646
22-76901-000,"BRKT-LOADLOCK,LOWER,BOC,RH",N,59601,104533.0,70182.7,-147775.0,-11349.5,120710.0,-0.359649426217038,0.09853253213411588,0.9799271005595952
22-76911-000,"BRKT-SUPT,HVAC,AIR-CMPSR MTD",W,70207,22113.8,17689.4,980853.0,-270177.0,-153163.0,-0.5131821719832155,0.38010406049124457,1.2995520190317082
22-76923-001,"BRKT-DWF,ADAPTOR,AFT,RH",N,78H02,404039.0,147617.0,42665.8,17105.3,-111563.0,0.2569898447859952,-0.1443375533239551,0.6973910229549078
22-76942-020,"BRKT-SUPT,FENDER,RH",N,66715,307517.0,144151.0,215705.0,644773.0,-149922.0,0.09297952949887413,-1.087232134193055,0.29267035423117294
22-76942-040,"BRKT-SUPT,FENDER,LH",N,66715,379523.0,179795.0,220032.0,-662119.0,-141819.0,0.20029919759912362,-0.1911474827022876,0.6355787460501229
22-76942-050,"BRKT-SUPT,FENDER,LH,RHD",N,66715,379247.0,179799.0,219965.0,-662156.0,-141851.0,0.20009903596024636,-0.1911873983151477,0.6354854776300494
22-76966-000,"BRKT-HOSE CNTRL,AC,B2",W,1MD01,158844.0,97057.7,-31179.5,20174.1,17024.0,-0.11683265364777978,0.14453109892247842,0.9575776238974903
22-76991-000,"BRKT-AC,HARDLINE MOUNTING",W,70208,18452.0,14857.8,7257.37,0.129948,10615.4,-0.5535333967508103,0.08543224945255691,1.0601585723263307
